iter	Logloss
184	0.1483691825
185	0.1482145827
186	0.1480583723
187	0.147889317
188	0.1476861149
189	0.1475229566
190	0.1473510424
191	0.1471745932
192	0.1469492369
193	0.1468302449
194	0.1467277735
195	0.1465872294
196	0.1464213674
197	0.1462904608
198	0.14607177
199	0.1458751893
200	0.1457516741
201	0.1455694466
202	0.1454328133
203	0.1452967677
204	0.1450909085
205	0.1448562564
206	0.1446813239
207	0.1445777576
208	0.1444014984
209	0.1442657553
210	0.1441642024
211	0.1440468983
212	0.1439113772
213	0.1437618818
214	0.1436769981
215	0.1435217331
216	0.143389254
217	0.1432292816
218	0.1430437439
219	0.1429044882
220	0.1427766078
221	0.1425222746
222	0.1424154714
223	0.1423335093
224	0.142226431
225	0.1420943452
226	0.141955076
227	0.1418402254
228	0.1417111368
229	0.1415480525
230	0.1414216073
231	0.1412640151
232	0.1411799835
233	0.1410902903
234	0.140996324
235	0.1408939257
236	0.1406877887
237	0.1406200485
238	0.1405343559
239	0.140411226
240	0.1402396516
241	0.1401178186
242	0.1399900546
243	0.1398703779
244	0.1398016229
245	0.1396855891
246	0.1395259745
247	0.1393686126
248	0.139297591
249	0.1391811123
250	0.1390420323
251	0.1389364548
252	0.1388006037
253	0.1386860126
254	0.1385623599
255	0.138457349
256	0.1383883098
257	0.1383064243
258	0.1382049549
259	0.1380883509
260	0.1380080104
261	0.1378970331
262	0.1377982474
263	0.1377160144
264	0.1375838001
265	0.1374530651
266	0.1373911749
267	0.1373115884
268	0.1372374114
269	0.1371083602
270	0.1370090226
271	0.1369088311
272	0.1368080861
273	0.1367433879
274	0.1366861655
275	0.1365789868
276	0.1364338801
277	0.1363661157
278	0.1362620522
279	0.1361139094
280	0.1360579791
281	0.1359144564
282	0.1358447204
283	0.1357104642
284	0.1355906421
285	0.1354928829
286	0.1353487896
287	0.1352320705
288	0.1351037955
289	0.1350173095
290	0.1349008724
291	0.1347660924
292	0.1346646968
293	0.1345888792
294	0.1344586889
295	0.1343318056
296	0.1342488819
297	0.1341704885
298	0.1340808633
299	0.1339779763
300	0.1339223325
301	0.1337406349
302	0.1336275519
303	0.1335688063
304	0.1334144564
305	0.1332872407
306	0.1331958453
307	0.1331204042
308	0.1330690818
309	0.1329809468
310	0.1328611009
311	0.1326915194
312	0.1326278343
313	0.1325707872
314	0.1324306491
315	0.1323842211
316	0.1323173352
317	0.1322571839
318	0.1322112927
319	0.1321054051
320	0.132062298
321	0.1319996541
322	0.1319209512
323	0.1318697571
324	0.1317950632
325	0.1317011337
326	0.1316513226
327	0.1315522778
328	0.1314406961
329	0.1312994249
330	0.1312179433
331	0.1311736323
332	0.1311275728
333	0.1310692508
334	0.1309578357
335	0.1308845757
336	0.1308389076
337	0.1307746083
338	0.1307219738
339	0.1305576758
340	0.1304665833
341	0.1304259374
342	0.1303750111
343	0.1302230557
344	0.1301358259
345	0.1300568786
346	0.1299794096
347	0.1299014577
348	0.1298046882
349	0.1297546302
350	0.129671623
351	0.1295930905
352	0.1294906984
353	0.1294503148
354	0.12934845
355	0.1293050792
356	0.1291508703
357	0.1290828805
358	0.1289834715
359	0.1288909407
360	0.1287081891
361	0.1286201089
362	0.1285104051
363	0.1284721344
364	0.1284290667
365	0.128345038
366	0.1283031794
367	0.1282253748
368	0.1281098071
369	0.1280722534
370	0.1280346554
371	0.1279963355
372	0.1279538827
373	0.1278152994
374	0.1277605588
375	0.1276397734
376	0.1275729508
377	0.1275257451
378	0.1274105528
379	0.1273631093
380	0.1272666348
381	0.1272026787
382	0.1271358047
383	0.1271002452
384	0.12701081
385	0.1269452627
386	0.1268614435
387	0.1267871271
388	0.1267456228
389	0.1266833286
390	0.126580986
391	0.1264719895
392	0.1264060495
393	0.1263466576
394	0.1262709282
395	0.12622282
396	0.1261869202
397	0.1261221157
398	0.125987758
399	0.1259107346
400	0.1258235884
401	0.1257865509
402	0.1256734582
403	0.1256316699
404	0.1255699577
405	0.1254909148
406	0.1254214147
407	0.1253805544
408	0.1252858764
409	0.1251551217
410	0.1250767272
411	0.1249906026
412	0.1249107929
413	0.1248752677
414	0.1248191428
415	0.1247441356
416	0.1246844479
417	0.1246491933
418	0.124584777
419	0.1244838322
420	0.1244505037
421	0.1243446827
422	0.1242800188
423	0.1242250144
424	0.124116532
425	0.1240614527
426	0.1239727369
427	0.1239376747
428	0.1238864858
429	0.1237776595
430	0.1237429312
431	0.1236894595
432	0.1236261742
433	0.1235531853
434	0.1235024393
435	0.1234571938
436	0.123413302
437	0.1232949392
438	0.1232628112
439	0.1231778009
440	0.1231449986
441	0.1230822292
442	0.1230103459
443	0.1229498352
444	0.1228287294
445	0.1227797441
446	0.1227490535
447	0.1227055146
448	0.1226311157
449	0.122563424
450	0.1225039813
451	0.1224707245
452	0.1223697587
453	0.1223246734
454	0.1222419447
455	0.1221550919
456	0.1220800794
457	0.1220461327
458	0.1219665343
459	0.1219331156
460	0.1219018952
461	0.1218712504
462	0.1218405427
463	0.1217798493
464	0.1217505533
465	0.1217067898
466	0.1215921358
467	0.121532638
468	0.1215027324
469	0.1214741977
470	0.1213950155
471	0.121301243
472	0.1212666374
473	0.1212381997
474	0.1211244345
475	0.1210963374
476	0.1210315386
477	0.1209614622
478	0.1209346152
479	0.1208928183
480	0.1208651726
481	0.1208233704
482	0.1207851362
483	0.1206759185
484	0.120647171
485	0.1206194128
486	0.1205922012
487	0.1205634162
488	0.1204818338
489	0.120430468
490	0.1203939654
491	0.12029651
492	0.1202271327
493	0.1202010876
494	0.1201637008
495	0.1201364977
496	0.1200561581
497	0.1200297111
498	0.12000495
499	0.1199343676
